commit_id,lines_added,lines_removed,lines_modified,files_changed,project,commit_role
76ff371b67cb12fb635396234468abcf6a466f16,0,0,1,1,linux,BFC
e3aaf0e1744e988ebd10144a36eb5619da2f4b7b,0,3,5,1,linux,BFC
8207c6dd4746c345b689684c4cd0ce00a18c7ef2,4,0,0,2,linux,BFC
a1697aba2721bebd5af2a041b9c251ce9bf7631e,4,0,0,2,linux,BFC
e6269c44546755094979ab53609e6e203a68c8ff,22,31,35,3,linux,BIC
04d25b7d5d1b43fbaffe4ad4bb21288f0f305338,1,0,0,1,linux,BFC
af5adf129369125bba8fa7ca594a7abaf226b27c,138,0,0,1,linux,BIC
63341ab03706e11a31e3dd8ccc0fbc9beaf723f0,11,0,0,1,linux,BFC
a0a1a1ba303261d25814d11a05008d2931a69a8b,57,0,0,2,linux,BIC
3bfd44306c65d073008b9ca8f062249f35576b61,9,2,11,2,linux,BIC
62ee783bf1f872ba879e088a669b04afebee899b,5,0,1,1,linux,BIC
732291c4fab8b790847aa572703c01ad483b14d0,1,0,0,1,linux,BFC
a1b7c5fd7fe98f51fbbc393ee1fc4c1cdb2f0119,133,0,3,3,linux,BIC
1319916209ce8f55a4f4f848e74500633e24bb99,25,0,3,1,linux,BIC
fa236a7ef24048bafaeed13f68df35a819794758,775,0,0,2,linux,BIC
f91958cc962225bfb4d135631379a644b1e2d089,13,0,1,1,linux,BIC
47828d22539f76c8c9dcf2a55f18ea3a8039d8ef,20,27,3,1,linux,BFC
894c9ef9780c5cf2f143415e867ee39a33ecb75d,11,4,8,2,linux,BIC
3ff1a0d395c00e42ee15f561431e0c04097595b9,54,0,1,1,linux,BIC
1da2f328fa643bd72197dfed0c655148af31e4eb,9,0,11,2,linux,BIC
2be65641642ef423f82162c3a5f28c754d1637d2,3,1,2,1,linux,BFC
575f5cfb13c84f324f9898383fa4a5694e53c9ef,0,2,0,1,linux,BFC
878fdbd704864352b9b11e29805e92ffa182904e,10,0,2,2,linux,BIC
e5f5a5b06e51a36f6ddf31a4a485358263953a3d,0,0,1,1,linux,BFC
d591fb56618f4f93160b477dfa25bbb1e31b0e85,11,31,7,1,linux,BIC
85baf542d54ec321642194b0ebfa7316e3190dc2,16,0,7,1,linux,BIC
8e8d7f13b6d5a93b3d2cf9a4ceaaf923809fd5ac,137,8,7,5,linux,BIC
3e233385ef4a217a2812115ed84d4be36eb16817,2,4,5,1,linux,BFC
d886aba677a0a75ad7fdb06e08418b481e09b036,0,15,4,2,linux,BIC
8cbf74149903382cf422c653d4ee8fb2f44e3ec8,3,7,1,1,linux,BIC
54d0a3ab80f49f19ee916def62fe067596833403,10,0,5,1,linux,BFC
4f39d575844148fbf3081571a1f3b4ae04150958,7,0,0,1,linux,BFC
e75d678d041fe55c7289e2a3d36de9c4f0abbf97,6,1,13,1,linux,BFC
4e14bf4236490306004782813b8b4494b18f5e60,0,0,1,1,linux,BFC
832622e6bd1884c95475094941914969ff82b329,183,0,0,2,linux,BIC
f3c75e7a9349d1d33eb53ddc1b31640994969f73,8,0,0,1,linux,BFC
4efd805fca5590af181f89ad122b8695c63b5f2c,9,14,4,1,linux,BFC
3899152ccbf42d7e3d3c7830b1fae75a575a1ed6,41,12,12,1,linux,BIC
11294d63ac915230a36b0603c62134ef7b173d0a,12,4,16,1,linux,BIC
60d6e6f0b9e422dd01aeda39257ee0428e5e2a3f,1,0,1,1,linux,BFC
246c320a8cfe0b11d81a4af38fa9985ef0cc9a4c,12,0,2,1,linux,BFC
0a8a1bf17e3af34f1f8d2368916a6327f8b3bfd5,25,0,2,1,linux,BFC
7cee6d4e6035603d42acd56d591e624921aa1b14,2,0,12,1,linux,BIC
50f0f26e7c8665763d0d7d3372dbcf191f94d077,0,0,2,1,linux,BFC
935774cd71fe604cc8ed24adcb507d7784255672,530,0,1,10,linux,BIC
8df66af5c1e5f80562fe728db5ec069b21810144,0,0,1,1,linux,BFC
091810dbded96c2af81f645e386e4262553e3493,878,0,0,3,linux,BIC
c7def7fbdeaa25feaa19caf4a27c5d10bd8789e4,2,0,1,1,linux,BFC
bd2f4ae5e019efcfadd6b491204fd60adf14f4a3,1,0,0,1,linux,BFC
a617302c531eaf497ccd02a61d380efc119ba999,6,0,4,1,linux,BFC
e5a019921af1236927d0fa3c38bbc1d74a579ed5,0,0,3,1,linux,BFC
b2d71b3cda19831ec67f49d7c6ba0214d9367b29,0,0,1,1,linux,BFC
ee495ada5c5681e66c20e9927fa35252bdf7fba0,2,0,4,2,linux,BFC
54ebbfb1603415d9953c150535850d30609ef077,71,0,5,9,linux,BIC
e9ba8d550dd1e28870a0bdc7c11af026c2a94702,9,0,1,1,linux,BFC
b95cb394ab591d1d6dcc7281b415fde0a3de2ae1,60,2,11,1,linux,BIC
5b3b9871cc28dbf827c41595d73595627434ff4d,6,11,0,3,linux,BFC
77f328dbc6cf42f22c691a164958a5452142a542,2,0,0,1,linux,BFC
1da177e4c3f41524e886b7f1b8a0c1fc7321cac2,5899312,0,0,14227,linux,BIC
fbc9f16a23a307f1ffbd498100f36a3e99367432,1,0,0,1,linux,BFC
159d8c274fd92438ca6d7068d7a5eeda157227f4,0,11,8,1,linux,BFC
d88d59b64ca35abae208e2781fdb45e69cbed56c,1,0,1,1,linux,BIC
f8acf01a6a4f84baf05181e24bd48def4ba23f5b,4,0,0,1,linux,BFC
2e9217d1e8b72dde2c7e3e2338cc1830f68cb58d,1,0,5,1,linux,BFC
8e368dc72e86ad1e1a612416f32d5ad22dca88bc,0,0,1,1,linux,BFC
c02f39ac00a66a75e55f84acdd7939cb37709085,1,0,0,1,linux,BFC
71df179363a5a733a8932e9afb869760d7559383,0,0,1,1,linux,BFC
0e4e1de5b63fa423b13593337a27fd2d2b0bcf77,12,3,1,1,linux,BFC
6cc4758ae91c0582f07e3c94c7de1ad0975feff5,4,0,1,1,linux,BFC
a4b4766c3cebb4018167e06b863d8e95b7274757,0,0,49,4,linux,BIC
bce9b042ec73e8662b8119d4ca47e7c78b20d0bf,2,0,0,1,linux,BIC
4c625a974fb81724e60966b677e47fcba782c950,0,0,1,1,linux,BFC
7baa7e2490e1c292a84406c90089511c96ce3114,11,0,0,3,linux,BIC
2f5bb473681b88819a9de28ac3a47e7737815a92,279,0,50,3,linux,BIC
9561475db680f7144d2223a409dd3d7e322aca03,7,0,2,1,linux,BFC
95f4a45de1a0f172b35451fc52283290adb21f6e,6,0,4,2,linux,BFC
d85a2d61432aed6a4c2e5f90109a37562f9a8092,96,25,10,2,linux,BIC
3bd1ae57f7bb3bf79487f7cb88f3ee34c7d58a52,54,0,0,1,linux,BIC
22e2100b1b07d6f5acc71cc1acb53f680c677d77,38,0,0,2,linux,BFC
14816b16fa0adac24f82492f18fa62c55acabbbe,1,0,0,1,linux,BFC
661c399a651c11aaf83c45cbfe0b4a1fb7bc3179,64,0,6,1,linux,BFC
0a5a98863c9debc02387b3d23c46d187756f5e2b,0,0,1,1,linux,BFC
dacce2be33124df3c71f979ac47e3d6354a41125,128,0,33,5,linux,BIC
b9a7ba5562074855e8a3f92ea7e1174b61a3e87d,42,1,13,6,linux,BIC
205704c618af0ab2366015d2281a3b0814d918a0,6,0,2,1,linux,BIC
0ed149cf5239cc6e7e65bf00f769e8f1e91076c0,1,0,0,1,linux,BFC
63e39d29b3da02e901349f6cd71159818a4737a6,4,6,3,1,linux,BFC
57cda166bbe045151d46b2d1133fdf4afccb90ed,137,0,13,5,linux,BIC
19e29c69cc4760c0d340ac1fa7f8c423fcd70a08,0,0,1,1,linux,BFC
0efe5523894a2677269d56ef5ae2f0f6747240fb,46,55,10,1,linux,BIC
de766e570413bd0484af0b580299b495ada625c3,5,0,0,1,linux,BIC
e485382ea7eb4b81f4b59073cd831084820497de,1,0,1,1,linux,BFC
76fede2fa79d0d02f6874f023a39b8bd5f52e297,0,4,4,1,linux,BFC
60a8b5a1611b4a26de4839ab9c1fc2a9cf3e17c1,14,19,0,1,linux,BFC
6f24e41022f28061368776ea1514db0a6e67a9b1,0,2,1,1,linux,BFC
9474f4e7cd71a633fa1ef93b7daefd44bbdfd482,2,0,1,1,linux,BFC
64d4ce892383b2ad6d782e080d25502f91bf2a38,6,2,12,1,linux,BFC
3ab224be6d69de912ee21302745ea45a99274dbc,155,108,67,15,linux,BIC
f8ffad69c9f8b8dfb0b633425d4ef4d2493ba61a,26,0,4,2,linux,BFC
398d1e37f960f3dc688fd1887276efbe18c17329,7,0,12,4,linux,BIC
1357bfcf71063637d16a7014639d675b5cbf5189,19,0,15,2,linux,BIC
11420749c6b4b237361750de3d5b5579175f8622,6,0,0,1,linux,BFC
6aced33f4974ab240971fdb5e42d7bebacd8ee45,0,12,1,1,linux,BIC
0e58156d700ac45fd5f0f90698a13233b1fe4c44,0,1,0,1,linux,BFC
8ce39eb5a67aee25d9f05b40b673c95b23502e3e,3,0,0,1,linux,BFC
52cdbdd49853dfa856082edb0f4c4c0249d9df07,58,0,0,3,linux,BIC
7f612a7f0bc13a2361a152862435b7941156b6af,0,0,2,2,linux,BFC
0efeff2905d0ea14f2ee83e6cefbda35ee8cf6fc,2,0,0,1,linux,BFC
44a13a5d99c71bf9e1676d9e51679daf4d7b3d73,15,0,1,2,linux,BIC
b97687527be85a55e12804c98745c5619eadcc32,0,0,1,1,linux,BFC
ba41e1e1ccb9771ce41a3b8e2121f95486e76ac9,86,0,7,4,linux,BIC
e5224f0fe2acddbc2fa9b419d8867ced7f5381fc,72,0,0,2,linux,BIC
e320d9c2e900d988c82021c80a3cbff488977946,0,1,2,1,linux,BFC
c715f89c4dab76317c773df2611af2dac4dea2b7,1,0,0,1,linux,BFC
26deb04342e343ac58ab05bc7d2345ff0be9b667,41,0,3,2,linux,BIC
da9125df854ea48a6240c66e8a67be06e2c12c03,0,0,1,1,linux,BFC
31ccd0e66d41f73cfc21a8de976e713455205228,1,0,7,1,linux,BFC
2ff0867851a21ea1ccb0c275ae1df2fe7787e1b9,12,0,6,1,linux,BFC
e71494ae68d2cbade38bbc2935cd7ff96e2b9b04,5,1,5,1,linux,BFC
b81e830c9ad041aba81b495d9386dc31aed3f1e6,0,0,1,1,linux,BFC
db6689b643d8653092f5853751ea2cdbc299f8d3,0,0,1,1,linux,BFC
6cbdceeb1cb12c7d620161925a8c3e81daadb2e4,86,0,18,7,linux,BIC
5d6751eaff672ea77642e74e92e6c0ac7f9709ab,8,0,1,1,linux,BFC
9e781401cbfcd83c4d766b4c6c5efce8348d4d13,96,0,46,4,linux,BIC
77fc95f8c0dc9e1f8e620ec14d2fb65028fb7adc,0,0,5,1,linux,BFC
d629522e1d66561f38e5c8d4f52bb6d254ec0707,2,0,3,2,linux,BIC
da2bc4644c75d992427c45c5ade3bdf18ca1b52d,166,30,51,2,linux,BIC
0f9650bd838efe5c52f7e5f40c3204ad59f1964d,4,4,0,1,linux,BFC
352e921f0dd42f79652cdb50dd91122d068d7209,0,63,183,1,linux,BIC
95731b8ee63ec9419822a51cd9878fa32582fdd2,0,15,0,1,linux,BIC
682f732ecf7396e9d6fe24d44738966699fae6c0,0,0,1,1,linux,BIC
7a89f9c626e337ba6528d8a2829b228c933877fb,17,2,22,5,linux,BIC
2e477391522354e763aa62ee3e281c1ad9e8eb1b,15,54,41,1,linux,BFC
b5b73b26b3ca34574124ed7ae9c5ba8391a7f176,6,0,11,1,linux,BFC
9ac30ef6d8ec3533d0feec53e268c4fa32ea700c,1,0,0,1,linux,BFC
cb06d102327eadcd1bdc480bfd9f8876251d1007,6,0,0,1,linux,BFC
30d41e18c3a6eac39b7348ae7e3388f0ec7e680e,0,0,1,1,linux,BFC
6819a14ecbe2e089e5c5bb74edecafdde2028a00,1,0,2,1,linux,BFC
2da572c959dd5815aef153cf62010b16a498a0d3,1222,0,0,5,linux,BIC
dbd1759e6a9c4596d8609897c414da603da80914,5,0,1,1,linux,BIC
398fd408ccfb5e44b1cbe73a209d2281d3efa83c,1,0,0,1,linux,BFC
daf182d360e509a494db18666799f4e85d83dda0,26,0,1,2,linux,BIC
a4dc6a49156b1f8d6e17251ffda17c9e6a5db78a,6,0,1,2,linux,BFC
5bc9a9dd75351023793d8aa4116ead005d659729,19,0,0,2,linux,BIC
ff0e2a7bd13f7c332d7f09ff45d08df4bf512ce0,0,0,1,1,linux,BFC
8780356ef630aa577fd4daa49e49b79674711fae,87,0,0,3,linux,BIC
37eb8d8c64f2ecb3a5521ba1cc1fad973adfae41,4,0,3,1,linux,BFC
33d268ed00190e8bc642508f9eb2f3f9ac0a1569,0,36,16,1,linux,BIC
3b24cdfc721a5f1098da22f9f68ff5f4a5efccc9,3,0,5,3,linux,BFC
ca419f407b43cc89942ebc297c7a63d94abbcae4,1,0,1,1,linux,BFC
3d502067599f0db12e74e6646aee8728efe3e5be,2,25,1,2,linux,BFC
d2332f887ddfba50fee93b8e1736376517c2df0c,8,0,0,1,linux,BFC
c32c47c68a0ae701088c5b2c3798856ed16746ae,14,0,2,1,linux,BIC
473fbe13fd6f9082e413aea37e624ecbce5463cc,2,0,0,1,linux,BFC
381f05a7a8428c84483d6bbd0aa3f4ced463c278,43,0,4,1,linux,BIC
96a6d031ca9930938bd66d0052fc7ed2b56e3583,62,0,12,1,linux,BIC
51e0158a54321a48d260e95998393934bb0de52c,4,2,8,7,linux,BFC
d707f812bb0513ea0030d0c9fe2a456bae5a4583,116,0,0,4,linux,BIC
626a5f66da0d19227253325e1d0f1b3d7a708342,38,0,14,1,linux,BIC
c8cfcb78c65877313cda7bcbace624d3dbd1f3b3,5,0,7,2,linux,BFC
b5b1cfc5d4d8457e98bbab0b8402c07b3938c3e6,0,0,1,1,linux,BFC
1f181225f8ec4ca59b53239aa06475d7c5b936b3,12,2,6,3,linux,BIC
e5d78fd998be94fb459a3d625df7367849b997b8,0,0,2,1,linux,BFC
f243e5a7859a24d10975afb9a1708cac624ba6f1,0,0,2,2,linux,BIC
546d6bad18c04926c4d0eba4222654a9a60ea830,0,0,1,1,linux,BFC
b844f0ecbc5626ec26cfc70cb144a4c9b85dc3f2,18,0,0,2,linux,BIC
23738e74472f9c5f3a05a68724a2ccfba97d283d,8,0,4,1,linux,BFC
badae9c86979c459bd7d895d6d7ddc7a01131ff7,5,0,1,1,linux,BFC
74cc6d182d038cbba6c6d91beb1b2bab926b618b,102,2,8,2,linux,BIC
706ad6746a66546daf96d4e4a95e46faf6cf689a,3,0,0,1,linux,BFC
594725db0ce11b2fd70f672d7540fa43c7f2f627,2,0,0,1,linux,BFC
0c7937587d8b0337466c993dc9c7645767f57bfd,0,1,2,1,linux,BFC
552abb884e97d26589964e5a8c7e736f852f95f0,1,0,5,1,linux,BFC
3e55d231716ea361b1520b801c6778c4c48de102,75,53,101,2,linux,BIC
3a1407559a593d4360af12dd2df5296bf8eb0d28,0,0,2,1,linux,BFC
80409c65e2c6cd1540045ee01fc55e50d95e0983,0,5,0,1,linux,BFC
2384d2d7adc41463a69d3eb0720896cc2d5d1f55,0,0,1,1,linux,BFC
7e9d3a4a1b21fd8a595774697f4047e7505deea6,6,3,3,2,linux,BFC
13adac032982c61bb590669e8e87e51558917ca1,77,0,23,1,linux,BIC
76ed2f61ae3ee5ca6e3ef155a703ab3eee1eb295,0,0,1,1,linux,BFC
03212e347f9443e524d6383c6806ac08295c1fb0,9,5,3,1,linux,BFC
018349d70f28a78d5343b3660cb66e1667005f8a,0,3,3,1,linux,BFC
55190f88789ab62a42c3ee050090406b0bcefff8,246,0,0,3,linux,BIC
72148d1a57e7c76745e68c94ad5d235240d26ac8,49,0,4,6,linux,BIC
85c8555ff07ef09261bd50d603cd4290cff5a8cc,0,0,1,1,linux,BFC
ac3615e7f3cffe2a1a6b25172dfd09e138593d82,0,14,4,1,linux,BIC
5deae20c552aec0750cc7b95e84ca94121aac3b3,2,0,1,1,linux,BFC
1861ba626ae9b98136f3e504208cdef6b29cd3ec,2,0,1,1,linux,BFC
601083cffb7cabdcc55b8195d732f0f7028570fa,0,1,2,1,linux,BFC
dfd1427c3769ba51297777dbb296f1802d72dbf6,5,0,3,1,linux,BFC
b6ba737d0b290b272452a2362088222a248fc8da,284,0,0,4,linux,BIC
032b7f08932c9b212952d6d585e45b2941b3e8be,13,0,10,2,linux,BIC
825911492eb15bf8bb7fb94bc0c0421fe7a6327d,0,0,1,1,linux,BFC
e3e33fc2ea7fcefd0d761db9d6219f83b4248f5c,21,0,15,1,linux,BIC
9fd4cf5d3571b27d746b8ead494a3f051485b679,1,0,2,1,linux,BFC
f7b88631a89757d70192044c9d9f2e8d2fc02f2c,0,0,1,1,linux,BIC
67f562e3e147750a02b2a91d21a163fc44a1d13e,2,0,0,1,linux,BFC
829a6c0b5698c7d51aa2bcd16963fcd9de295476,806,0,1,3,linux,BIC
bcf741cb779283081db47853264cc94854e7ad83,1,0,0,1,linux,BFC
45827d780aab533a777f965798018118b373cc0b,0,2,6,1,linux,BFC
19873eec7e13fda140a0ebc75d6664e57c00bfb1,5,0,2,1,linux,BFC
2447e2cad75239ae407c0f98acf12511354208c5,0,0,4,1,linux,BFC
cb10bf9194f4d2c5d830eddca861f7ca0fecdbb4,2,0,1,1,linux,BFC
fa8ad7889d83bcf0a6cdbf6d3622f3ec019cde14,1,1,6,6,linux,BIC
d068ebc25e6e1360510ad8023fe7bca3dacd204e,285,112,49,9,linux,BIC
d3cfe7ddbc3dfbb9b201615b7fef8fd66d1b5fe8,0,0,1,1,linux,BFC
2684bda34786b6ae0944a4bacb7f59b5955979a8,4,0,0,1,linux,BFC
168af00a3b7b4cb9522687ea08bc2dfa5e9b5774,0,3,7,1,linux,BFC
7b52db39a4c27c0020ff953a4bb0aa8bbe55e4a2,1,0,30,1,linux,BIC
6124cec530c7d8faab96d340ab2df5161e5d1c8a,0,0,1,1,linux,BFC
d27c3c90817e4c5ea655714065a725b4abd576f9,52,0,0,2,linux,BIC
c218ee03b9315073ce43992792554dafa0626eb8,3,0,1,2,linux,BFC
f1069a8756b9e9f6c055e709740d2d66650f0fb0,6,0,8,1,linux,BIC
1019a359d3dc4b64d0e1e5a5efcb725d5e83994d,5,5,14,1,linux,BIC
0c031fd37f69deb0cd8c43bbfcfccd62ebd7e952,57,11,20,4,linux,BIC
2451e746478a6a6e981cfa66b62b791ca93b90c8,22,0,1,2,linux,BFC
c048b60d39e109c201d31ed5ad3a4f939064d6c4,1,1,1,1,linux,BFC
dc95b5350a8f07d73d6bde3a79ef87289698451d,1,3,18,1,linux,BFC
c3fc1a3919e35a9d8157ed3ae6fd0a478293ba2c,5,0,0,1,linux,BFC
836a0fbb3e76f704ad65ddfb57f00725245e509b,6,65,67,26,linux,BFC
c2ea5fcf53d5f21e6aff0de11d55bc202822df6a,26,0,0,1,linux,BIC
130c93fd10c4d150e39d8879420c1351aa207fa9,8,0,2,2,linux,BFC
80cc0fcbdaeaf10d04ba27779a2d7ceb73d2717a,4,1,1,1,linux,BFC
9af417610b6142e826fd1ee8ba7ff3e9a2133a5a,1,0,1,1,linux,BFC
a7b39b4e961c4e2b3ed837803a7441a65c90ce33,41,35,5,5,linux,BIC
8f01054186683fe0986d54d584aa13723d51edce,592,0,0,11,linux,BIC
829e17a1a602572ffa3beefe582dc103ee9fb9c7,9,0,0,2,linux,BIC
12574a9f4c9cc9d8d6fd9078cbb8ec7d3e9ed46b,9,2,12,4,linux,BIC
7d83fb14258b9961920cd86f0b921caaeb3ebe85,4,0,5,1,linux,BFC
30ac96f7cc973bb850c718c9bbe1fdcedfbe826b,3,0,0,1,linux,BFC
eb3d8f42231aec65b64b079dd17bd6c008a3fe29,2,0,8,1,linux,BFC
81ff52b705775433a955b2746d37b87bdc89a3d0,1,0,1,1,linux,BFC
5dd195522562542bc6ebe6e7bd47890d8b7ca93c,3,0,0,1,linux,BIC
2c94b53738549d81dc7464a32117d1f5112c64d3,8,0,1,1,linux,BIC
bad29933fef76fb6ee577f4a0b6d145c1f52f663,0,0,1,1,linux,BFC
8d3d53b3e43363e79ab9a9ecc149b06c1314b25d,102,4,14,4,linux,BIC
73b306a2bcb75e37b8065aa714ad2c6949c90ebf,0,0,1,1,linux,BFC
fbfa2cc58d5363f780f4f2ad0243a47185c2bb2a,637,0,0,1,linux,BIC
1db19db7f5ff4ddd3b1b6dd2092a87298ee5bd0b,6,0,8,4,linux,BIC
d1442d85cc30ea75f7d399474ca738e0bc96f715,58,0,30,1,linux,BIC
24917f6b1041a73993178920656e13364f847995,42,0,13,2,linux,BIC
563aaf4a928def2d36d1b3de0a4b515e2477b4da,0,0,3,1,linux,BFC
c2a8f0ff9c6ca8d04adb68b7959a56a3cbb665b3,37,0,1,4,linux,BIC
1fb254aa983bf190cfd685d40c64a480a9bafaee,1,0,0,1,linux,BFC
17a69219713b5063698038151fea9167b5b0c7b4,0,0,1,1,linux,BFC
a6e2cd4dd28effab117ddce7a62c5a411b282d2e,0,0,2,1,linux,BFC
d678be1dc1ec59eee1f733ff603f601469ff368d,165,3,11,3,linux,BIC
cd50ac0f31d111cf6c2a7b953a67703d5522ef55,0,3,0,1,linux,BFC
cafaf14a5d8f152ed3c984ecd48dee6e824446bc,31,9,26,1,linux,BIC
b5ea03709d12e98fa341aecfa6940cc9f49e8817,5,0,4,1,linux,BFC
e6feaf215f07dd98d03ee783c9dd4c7f7e55b74d,0,0,1,1,linux,BFC
b7404a29cd3db0bf9537addf36b0fa33b58a645a,4,0,2,1,linux,BIC
08e74be103051861eb2c1ee52a2dcf119cde264f,0,1,2,1,linux,BFC
369b7d04baf3334d3473b2bb0b210a4e51d7bb67,35,0,1,3,linux,BIC
143d36a33b4d59a56bb8e913a17a105578fd3237,0,0,1,1,linux,BFC
8d5958f424b62060a8696b12c17dad198d5d386f,4,0,0,1,linux,BFC
e61ce6ade404ef17bd63d62bec78e29047a47b47,31,0,0,2,linux,BIC
1eec7151ae0e134bd42e3f128066b2ff8da21393,0,18,0,1,linux,BFC
03e607cbb2931374db1825f371e9c7f28526d3f4,7,0,0,1,linux,BFC
9a4d7e86acf3be8c0c911a552f903a10d0eea814,140,0,157,3,linux,BIC
8f50db4b5c79af2ba54f5fbe8a5173fd7f37a493,0,0,3,1,linux,BFC
556fe36d09da5f82879e92bafa0371b4b79f7d6f,2,0,0,1,linux,BFC
987c8fb4de437344f19a23d074c06faf67520a11,3,0,1,1,linux,BFC
c4e490cf148e85ead0d1b1c2caaba833f1d5b29f,2,2,2,1,linux,BFC
