commit_id,lines_added,lines_removed,lines_modified,files_changed,commit_role
3ee4f5335511b5357d3e762b3461b0d13e565ad5,64,39,7,1,BIC
759635760a804b0d8ad0cc677b650f1544cae22f,10,11,2,1,BFC
eda6500a987a027b78a275c11db6454404a626aa,2011,0,0,2,BIC
fd559a943e3ad919b47ee480e3edb230a818a6b1,0,0,4,1,BFC
1aaa557b2db95c9506ed0981bc34505c32d6b62b,0,0,0,0,BFC
ce0ee4e6ac99606f3945f4d47775544edc3f7985,2,0,4,1,BFC
0ea820cf9bf58f735ed40ec67947159c4f170012,196,191,94,12,BIC
95bf9d646c3c3f95cb0be7e703b371db8da5be68,0,9,0,1,BFC
f92722dc4545ebfa0f99a2f986fd88c112a22a42,0,0,0,0,BIC
038e5e471874d26881d5f3b234c78e41a71ad606,5,5,0,1,BFC
9fbe1c25ecca87f1c390d1bfd347df92749941c5,35,2,8,5,BIC
fd1b5beb177a8372cea2a0d014835491e4886f77,3,0,0,1,BFC
4dd0d5c33c3ebf24a07cae6141648aeb7ba56072,4,0,0,1,BIC
df006dd4b1dca8c486f73ae76fb77c06afae83f2,569,0,0,6,BIC
e091b836a3baee4c8b1423a969589196b88a9e06,0,0,0,0,BFC
001ce9785c0674d913531345e86222c965fc8bf4,0,0,0,0,BIC
e058953c0ed18b5d2e125edec1cb6a258aa52446,0,12,0,3,BFC
a7efd7773e31b60f695816c27393fc717a9df127,776,0,1,6,BIC
a0c8c3372b41002e65dc109d431eb50da002e728,0,0,1,1,BFC
1e9258c389ee58b34238abaa600c10270b081af8,3,3,1,2,BIC
97ad8c8c719d0f7fbf3e828be7e99121b4b05b1f,3,2,2,1,BFC
a29b934ceb4c8ad8bf6d0486a8c8ef015af494f4,72,2,4,3,BIC
44653c400615a3fa3658caa72d765233cc897d80,0,0,1,1,BFC
623a3531e9cfcb95de55f0e4a38668705eeec8ad,702,0,0,1,BIC
e15623cdce6fca662dbecd311f9d74bc61d0e1f2,0,0,1,1,BFC
1198ff12cbdd5f42c032cba1d96ebc7af8024cf9,0,1,1,1,BFC
a5b8f71c5477f4327c66a085d9714fe298510819,0,23,9,5,BIC
f7a1e76d0f608961cc2fc681f867a834f2746bce,2,2,0,1,BFC
e6dee9f3893c823dff9c7f33fe0a598ee25c78f7,29,0,0,2,BIC
0c57eeecc559ca6bc18b8c4e2808bc78dbe769b0,6,0,0,1,BFC
eadec877ce9ca46a94e9036b5a44e7941d4fc501,17,18,28,4,BIC
64733956ebba7cc629856f4a6ee35a52bc9c023f,1,0,2,1,BFC
2ca546b92a024d07adedd15b4c262b1c2c0786ec,499,0,1,1,BIC
ace19b992436a257d9a793672e57abc28fe83e2e,2,3,0,1,BFC
d28e4dff085c5a87025c9a0a85fb798bd8e9ca17,34,1,5,1,BFC
6ec3938cff95fe792a05fdf4ba14f92977e5e31d,48,79,23,1,BIC
875a4d5368424d6cf57d4b7250b470f1a8ad2c14,30,0,0,3,BIC
20b0dfa86bef0e80b41b0e5ac38b92f23b6f27f9,8,0,1,1,BFC
15b4511a4af633dca0762ae5646fdf05f1dea99a,334,3,3,2,BIC
caa51a4c11f1cadba9bcf61ed9e0105711952ce7,14,6,0,1,BFC
4f6e3d66ac522dec9733d433ad00e8e77747c372,91,81,1,1,BIC
9c6e4f6ed1d61d5f46946e5c151ceb279eedadb1,15,2,0,1,BFC
411efa18e4b03840553ff58ad9b4621b82a30c04,30,10,0,1,BIC
0f5251339eda7f7eb7bd4467607ae1d01b24e129,4,0,0,1,BFC
3e85b81591609bb794bb00cd619b20965b5b38cd,14,0,0,1,BFC
9c95b32ca09364e4687b72c4e17b78dc1c420026,3,1,9,1,BIC
5517357a4733d7cf7c17fc79d0530cfa47add372,1,1,0,1,BFC
6d18b8adbe679b5947aa822b676efff230acc5f6,65,33,12,1,BIC
a9e79b116cc4d0057e912be8f40b2c2e5bdc7c43,18,44,3,2,BFC
fdf21cc3714939dd4327f3d664fe5863d15ccb31,65,4,5,4,BIC
689a0a9f505f7bffdefe6f17fddb41c8ab6344f6,0,0,7,1,BFC
ad4bb6f8883a13bb0f65b194dae36c62a02ac779,44,0,4,5,BIC
d3fd2c95c1c13ec217d43ebef3c61cfa00a6cd37,1,0,0,1,BFC
512b191d965237249999b3c58600fe50356ab323,14,3,3,1,BIC
09b1d5dc6ce1c9151777f6c4e128a59457704c97,5,3,12,4,BFC
6cd536fe62ef58d7c4eac2da07ab0ed7fd19010d,100,119,59,13,BIC
0985dba842eaa391858972cfe2724c3c174a2827,18,1,4,1,BFC
af1a02aa23c37045e6adfcf074cf7dbac167a403,2,0,1,1,BFC
2d55173e71b06c5a369489852d972304e14189fd,85,0,0,2,BIC
707293a56f95f8e7e0cfae008010c7933fb68973,20,2,4,1,BFC
64cd92d5e8180c2ded3fdea76862de6f596ae2c9,53,53,0,1,BFC
6f8c8bf4c7c9be1c42088689fd4370e06b46608a,20,1,4,3,BFC
9af7c32ceca85da27867dd863697d2aafc80a3f8,88,0,0,3,BIC
937e79c67740d1d84736730d679f3cb2552f990e,9,1,0,1,BFC
e263bdab9c0e8025fb7f41f153709a9cda51f6b6,15,0,8,1,BIC
2a7ca7459d905febf519163bd9e3eed894de6bb7,0,2,1,1,BFC
8228c77d8b56e3f735baf71fefb1b548c23691a7,0,0,15,2,BFC
c2e6df3eaaf120cde5e7c3a70590dd82e427458a,0,0,1,1,BFC
5615f69bc2097452ecc954f5264d784e158d6801,356,2,0,6,BIC
00568b8a6364e15009b345b462e927e0b9fc2bb9,0,0,0,0,BFC
463dbba4d189750c2f576449d0bbb11c5413712e,8,0,4,2,BIC
232deb3f9567ce37d99b8616a6c07c1fc0436abf,0,0,2,1,BFC
161ca59d39e909d37eeeaf14bc1165b114790d00,109,3,6,3,BIC
824edd866a13db7dbb0d8e26d2142f10271b6460,1,0,0,1,BFC
de8fc2b0a3f9930f3cbe801d40758bb1d80b0ad8,40,0,10,2,BFC
bab4ff1edccd5853c956ac72e5152b073a237b50,3,0,1,1,BFC
ce210d35bb93c2c5c8857878123275ecdcfd7018,667,0,1,2,BIC
c65b52d02f6c1a06ddb20cba175ad49eccd6410d,1,1,0,1,BFC
c7c42ec2baa1de7ab3965e4f1bf5073bee6065e4,371,1,1,2,BIC
85fe6415c146d5d42ce300c12f1ecf4d4af47d40,0,0,1,1,BFC
6a41b6c5fc20abced88fa0eed42ae5e5cb70b280,321,0,0,1,BIC
1ba5478270a5c3a02b08052a3c003c282f2db94a,1,0,2,1,BFC
f8410e626569324cfe831aaecc0504cafc12b471,52,0,0,2,BIC
21ce6992f38764430b134c15fa861f9ac4973340,0,0,0,0,BFC
b7705ba6d0c4aac52688a96884bd6fde91f3b2fb,0,0,0,0,BIC
8eeba194a32e0f50329354a696baaa2e3d9accc5,0,12,1,1,BFC
b697e435aeee99b7f5b2d8f8dbb51f791be99b16,14,15,4,2,BIC
f0a1a0615a6ff6d38af2c65a522698fb4bb85df6,23,1,5,2,BFC
214d9bbcd3a67230b932f6cea83c078ab34d9e70,295,0,5,7,BIC
1e2aa46de526a5adafe580bca4c25856bb06f09e,0,0,1,1,BFC
d4074324b07a94a1fca476d452dfbb3a4e7bf656,3,4,6,1,BFC
46c22ffd2772201662350bc7b94b9ea9d3ee5ac2,0,0,1,1,BFC
949f5c1244ee6c36d2e81c588d1200eaa83a3df6,30,9,9,1,BFC
9fcf93b5de063e5cadb95a7bd0130bf73edcd3b5,40,0,0,2,BIC
24d5dd0208ed1cd3ef6bf30a50b347ef366f21ac,51,0,0,2,BIC
a7e19ab55ffdd82f1a8d12694b9a0c0beeef534c,176,3,8,4,BIC
fe3d10024073f06f04c74b9674bd71ccc1d787cf,13,0,0,1,BFC
2d42f9477320befd33846c4083cab898998cdee5,181,2,4,4,BIC
b159f94c86b43cf7e73e654bc527255b1f4eafc4,1,0,2,1,BFC
1e133ab296f3ff8d9e58a5e758291ed39ba72ad7,1457,1400,4,12,BIC
2d8fb8f3914b40e3cc12f8cbb74daefd5245349d,6,0,0,1,BFC
b31288fa83b2bcc8834e1e208e9526b8bd5ce361,174,0,1,6,BIC
d9f273484358285b448aff65bffeb361d0b1f917,9,2,2,4,BFC
e530a9f3db4188d1f4e3704b0948ef69c04d5ca6,2,0,0,1,BFC
745e92a6d816277fcbd231bda5ad2d882b22fe52,23,18,1,3,BIC
b3b180e735409ca0c76642014304b59482e0e653,0,15,1,2,BFC
e2fb2e2a33fae6009bf68574a7eec8fcfdf9c78e,117,0,0,3,BIC
26cf132de6f79c06025706ddc61e045d591d404d,43,0,1,3,BIC
98da0106aac0d3c5d4a3c95d238f1ff88957bbfc,9,1,2,1,BFC
49c4959f04b587c8909b33adca4066995c768d60,8,2,9,2,BIC
c5a51fc89c0103c03b8a54cf12dac7d014b3a2bf,0,0,1,1,BFC
059e969c2a7d9efb463c0d8c574f1b3f1e010bed,0,3,2,1,BIC
e7e1e880b114ca640a2f280b0d5d38aed98f98c6,1,1,0,1,BFC
f067025bc676ba8d18fba5f959598339e39b86db,32,4,1,2,BIC
d853adc7adf601d7d6823afe3ed396065a3e08d1,4,4,2,1,BFC
92fe01b7c655b9767724e7d62bdded0761d232ff,6,6,0,1,BFC
41ee7232fa5f3c034f22baa52bc287e494e2129a,1,0,1,1,BFC
c7892ae13e461ed20154321eb792e07ebe38f5b3,2,0,0,1,BFC
950b0d91dc108f54bccca5a2f75bb46f2df63d29,156,68,8,7,BIC
53b3947ddb7f309d1f611f8dc9bfd6ea9d699907,5,0,1,1,BFC
1948d5c51dba4e4e2652a5687991a6460d78b5d0,1088,0,0,2,BIC
b212400d5d72dda81c706d158fbcdf07f393cdb4,0,0,0,0,BFC
288ef8a42612df516e2e598a9ca5b3d9be846290,0,0,0,0,BIC
d5240f8e23641c70bc70892d7999398b081ccb7e,0,0,0,0,BFC
3e482859f1ef73244849ea56e08933b2a8d21882,0,0,0,0,BIC
90ba636e40cbaecce549c44a016eaf8a06c3a506,0,0,0,0,BFC
7b56a804e58b1670cb8f17b66543facd21af4dd2,0,0,0,0,BIC
b110dfa5ad42be93ebf73540d16430878dfb26bb,0,0,0,0,BFC
37aa540cbd30ced7217745378c37259ec460e657,0,0,0,0,BIC
72f1aa6205d84337b90b065f602a8fe190821781,2,0,0,1,BFC
83473566260288c560e5443ea4cc40a458aa9e6a,111,5,4,2,BIC
a923a2676e60683aee46aa4b93c30aff240ac20d,3,0,1,1,BFC
c7e2d71dda7ac4731bae54a25c49cd81fe7b9046,97,1,5,2,BIC
95a359c9553342d36d408d35331ff0bfce75272f,20,0,0,1,BFC
d6423d2ec39cce2bfca418c81ef51792891576bc,2,0,0,1,BFC
7b473ae754fec86cfa44f05f0882d1329d244e6c,0,0,2,1,BFC
fc3341b4b55f46ad0846a22ae149d94bac6ce40b,0,0,0,0,BFC
95563d45b5da9cdd07496bf54f0d83f25d679847,215,1,3,1,BIC
76f7eba3e0a248af4cc4f302d95031fa2fb65fab,157,0,0,1,BIC
62563bd99c7d7be269982b88173ad8938420d648,0,0,1,1,BFC
1d7724690344a264f8a567c9214aa65456d7566d,277,0,0,1,BIC
086f52fdc8f7bd273d06a3de2adf65a063eb5392,0,0,1,1,BFC
639c85628757044fee608079a7185b4dbde6bdab,37,0,0,1,BIC
5ac80a76e609be4d1a82eaf6f4c1518ba3bb0a86,0,0,0,0,BFC
9304af37d07b63244e4b3c80e5a245c978beb015,0,0,0,0,BIC
22b32238968e0ba9f538a23c1444686cd60f218e,0,0,0,0,BFC
ad3f04b7bef63ef2005e5dcd8811bf9ccf2ea11a,0,0,0,0,BIC
5e4aac2caf12b2ebf1e4d15dc24d4e3b03b489fb,0,0,0,0,BFC
21f3cbf693b046c3de0845d476f9a4e7a1732469,0,0,0,0,BIC
38212b2a8a6fc4c3a6fa99d7445b833bedc9a67c,1,1,0,1,BFC
9d11af8b06a811c5c4878625f51ce109e2af4e80,2,5,6,1,BIC
00326bfa4e6363e4b0b8b019ecd2556fdda5ad1c,2,8,3,1,BFC
52a99a13cb880845cd77f1da7136d689347489ef,1,1,0,1,BFC
87f9bf24ea840b3fff025a856e7746514ce12bd3,29,0,0,2,BIC
2be10a9744956673b0ddbf89976e32c75eeb2992,0,1,2,1,BFC
22dffbddf016791e99f02d1ad36f5043ce615085,113,15,24,3,BIC
753453afacc0243bd45de45e34218a8d17493e8f,2,2,0,1,BFC
d8d59f66d136bf5d81322fcba261381276e9b094,75,21,20,5,BIC
8603caaec98f7a46419a661f306abfaf2f18ec4b,0,0,0,0,BFC
599593a82fc57f5e9453c8ef7420df3206934a0c,0,2,0,1,BFC
008f75a20e7072d0840ec323c39b42206f3fa8a0,7,27,9,4,BIC
c825f5fee19caf301d9821cd79abaa734322de26,6,0,3,1,BFC
8a138aed4a807ceb143882fb23a423d524dcdb35,605,10,20,6,BIC
5245dafe3d49efba4d3285cf27ee1cc1eeafafc6,0,0,2,1,BFC
d8123624506cd62730c9cd9c7672c698e462703d,3,7,3,1,BIC
04f8ef5643bcd8bcde25dfdebef998aea480b2ba,2,0,1,1,BFC
2b0d3d3e4fcfb19d10f9a82910b8f0f05c56ee3e,88,27,35,3,BIC
4bfc0bb2c60e2f4cc8eb60f03cf8dfa72336272a,66,3,6,4,BIC
fda7a38714f40b635f5502ec4855602c6b33dad2,2,1,1,1,BFC
a77f879ba1178437e5df87090165e5a45a91ba7f,12,0,2,2,BFC
33a2c75c55e24aa30ff9fed805ae8bea13c1e2a3,23,0,3,1,BIC
e89ef634f81c9d90e1824ab183721f3b361472e6,8,6,1,1,BFC
aff52e685eb39984f3a613e8a5c570d97e5d2414,208,0,0,3,BIC
5ca5916b6bc93577c360c06cb7cdf71adb9b5faf,10,1,2,1,BFC
787eb485509f9d58962bd8b4dbc6a5ac6e2034fe,17,22,10,1,BIC
1000298c76830bc291358e98e8fa5baa3baa9b3a,3,1,1,1,BFC
919d2b1dbb074d438027135ba644411931179a59,253,5,3,2,BIC
12a9917e9e84fef4efa73c09b32870df0b1ed795,1,0,1,1,BFC
57385ae31ff0ffa6e9c9ae39206740efdc7f5972,0,0,0,0,BFC
aa274f98b269b2babf37b6308f8a1a009ca4fc41,0,0,0,0,BIC
fae1b05e6f0acf116f6450535b0e1c13051102d3,0,0,1,1,BFC
961632d5416389a6f2e7478b674ac645c7e3ff01,5,2,1,1,BIC
f3956e309ecc57940de031987e49a92b131315f7,2,0,1,1,BFC
9ca482a246f017773c6ae9b39a02f51dfcc956d7,91,31,16,3,BIC
9d02831e517aa36ee6bdb453a0eb47bd49923fe3,3,0,0,1,BFC
ef16b1734f0a176277b7bb9c71a6d977a6ef3998,3,6,0,1,BFC
aa0f697e45286a6b5f0ceca9418acf54b9099d99,3,0,0,1,BFC
a64b341b8695e1c744dd972b39868371b4f68f83,7,1,3,1,BFC
438b95a7c98f77d51cbf4db021f41b602d750a3f,14,13,5,1,BFC
eae5783908042a762c24e1bd11876edb91d314b1,36,16,10,1,BFC
4f7019c7eb33967eb87766e0e4602b5576873680,1,0,0,1,BFC
7f678def99d29c520418607509bb19c7fc96a6db,28,6,7,2,BFC
f1260ff15a71b8fc122b2c9abd8a7abffb6e0168,43,0,0,2,BIC
2d85a1b31dde84038ea07ad825c3d8d3e71f4344,0,0,1,1,BIC
ed290e1c20da19fa100a3e0f421aa31b65984960,0,0,0,0,BFC
20ba262f8631aadefa87921481fe569ecc387f20,0,0,0,0,BIC
ec5a4919fa7b7d8c7a2af1c7e799b1fe4be84343,5,2,0,1,BFC
6ff53f6a438f72998f56e82e76694a1df9d1ea2c,2,0,1,1,BFC
f6b3c72c23661e5534cd2eede16e9bac7ebb761c,38,0,0,7,BIC
55409ac5c371c6403012d5f4df5e7c6cf0e7dce6,2,2,0,1,BFC
928265e3601cde78c7e0a3e518a93b27defed3b1,5,4,0,1,BFC
057d51a1268fe4be039db8ff0791fcfcb63a4f1b,0,0,0,0,BIC
0934ad42bb2c5df90a1b9de690f93de735b622fe,1,1,0,1,BFC
6c2e8ac0953fccdd24dc6c4b9e08e8f1cd68cf07,495,76,74,10,BIC
8bdf7b3fe1f48a2c1c212d4685903bba01409c0e,0,0,1,1,BFC
297db731847e7808881ec2123c7564067d594d39,0,0,1,1,BFC
478eb72b815f33734723867ff236d96afa418d69,1,3,6,1,BIC
41ad36623fabe7d02c9f89aff077dd4c8ba5d602,0,51,0,1,BFC
ddab8bd788f5badb38b8e99d63bffc22225ee3e4,51,0,0,1,BIC
e7d9560aeae51415f6c9bc343feb783a441ff4c5,0,8,2,1,BIC
df9feb1a6972af994dce8a5aae9e770181e5d065,19,0,1,3,BFC
4df5585776fad6bc1179ea004622e9c694f2f7df,1,0,0,1,BFC
af3b89d3a639d55a7fe6b82c2775d80bc52a9c1a,41,37,5,1,BIC
95e16b4792b0429f1933872f743410f00e590c55,43,2,14,2,BFC
4fa4b38dae6fc6a3695695add8c18fa8b6a05a1a,9,9,0,1,BFC
6b5efc930bbc8c97e4a1fe2ccb9a6f286365a56d,2,1,4,1,BFC
ea724ea420aac58b41bc822d1aed6940b136b78d,6,7,9,1,BFC
0d33b1baeb6ca7165d5ed4fdd1a8f969985e35b9,7,2,2,1,BFC
b5998402e3de429b5e5f9bdea08ddf77c5fd661e,0,0,3,2,BFC
96611c26dc351c33f73b48756a9feacc109e5bab,2,4,3,1,BFC
8850cb663b5cda04d33f9cfbc38889d73d3c8e24,3,7,5,2,BIC
3ae88f676aa63366ffa9eebb8ae787c7e19f0c57,0,1,2,1,BFC
ad6d66bcac77e5145eb67449f8354ed0f936258c,10,3,34,1,BIC
f8690a4b5a1b64f74ae5c4f7c4ea880d8a8e1a0d,0,0,0,0,BFC
a7ee22ee1445c7fdb00ab80116bb9710ca86a860,459,0,0,1,BIC
