commit_id,lines_added,lines_removed,lines_modified,files_changed,project,commit_role
7ace8fc8219e4cbbfd5b4790390d9a01a2541cdf,2,0,6,1,linux,BIC
79f2624b1b9f776b173b41d743fb3dd7374b3827,2,0,1,1,linux,BFC
8379bb84be757d5df2d818509faec5d66adb861d,0,0,2,1,linux,BFC
53fd40a90f3c0bdad86ec266ee5df833f54ace39,15,17,1,2,linux,BIC
0f792cf949a0be506c2aa8bfac0605746b146dda,20,0,16,1,linux,BFC
4f7f60d312b3816542412ee90e05f06b50a51489,167,0,0,1,linux,BIC
28c2d1a7a0bfdf3617800d2beae1c67983c03d15,0,35,10,1,linux,BFC
eeb89e2bb1ac45b0836d4170e97a988c3a746c62,0,4,2,1,linux,BIC
89cce2b3f247a434ee174ab6803698041df98014,4,0,5,1,linux,BFC
5d2295f3a93b04986d069ebeaf5b07725f9096c1,10,0,1,1,linux,BFC
aaaf357fa61c00376cd8718d36bf06b7f0cbeead,2,14,10,4,linux,BIC
0431b9065f28ecf6c320fefebe0241620049984f,23,4,30,4,linux,BIC
f686c14364ade79a373ef65c0fecfc2953ca8da5,7,0,2,1,linux,BIC
bf87bb0881d0f59181fe3bbcf29c609f36483ff8,2,0,0,1,linux,BIC
2accfa69050c2a0d6fc6106f609208b3e9622b26,1,0,0,1,linux,BFC
43bfc24ec1d69853d706cb3ebfdb9088846b9b50,2,3,5,3,linux,BFC
7beecaf7d507b64ef1d6210835aec6ed4e64f30a,32,1,6,1,linux,BIC
0c235113b3c42197dba66baf76697359b03a5046,17,0,8,1,linux,BFC
a29d56c2ed24ad33062bfdafdec9e34149715320,0,0,1,1,linux,BFC
ba2d139b02ba684c6c101de42fed782d6cd2b997,0,1,1,1,linux,BFC
3609e31bc8dc03b701390f79c74fc7fe92b95039,0,3,0,1,linux,BFC
b5462cc377748181af2b05729c69f5faecec3717,2,0,1,1,linux,BFC
a71266e454b5df10d019b06f5ebacd579f76be28,0,1,1,1,linux,BFC
d0918764c17b94c30bbb2619929b1719ff52707a,9,0,1,1,linux,BIC
c3873070247d9e3c7a6b0cf9bf9b45e8018427b1,11,0,8,3,linux,BFC
d1c9da9e4c938e8bbf8b0ef9e5772b97db5639e9,1,0,1,1,linux,BFC
75f1133873d6a1276d3c19918b7c94975840f990,0,0,1,1,linux,BIC
13a857a4c4e826c587cde3a69bc3d1162d247d9d,228,1,33,2,linux,BIC
a47666eb763cc1b8b48bd88185ca56676f40ca89,9,23,27,1,linux,BIC
ff76e3d7c3c958b51f095dfdb7d451177312896b,5,5,0,2,linux,BFC
5471e9762e1af4b7df057a96bfd46cc250979b88,4,0,1,1,linux,BFC
290e44b7dd116cc61cf37b7ca0be13313bb11e37,0,0,2,2,linux,BFC
a48d44c800c7a50a7d57be7adffb31e04643a42e,0,2,2,1,linux,BFC
11d5f15723c9f39d7c131d0149d024c17dbef676,223,6,62,2,linux,BIC
fea83353177a55540c71c140887737c282137aa2,10,7,6,1,linux,BIC
020853b6f5ead2849b055e9873ff7267ce584256,86,76,4,3,linux,BIC
660585b56e63ca034ad506ea53c807c5cdca3196,100,0,0,3,linux,BFC
184d8e13f9b13313f711f028ca2465f973459046,112,0,0,2,linux,BIC
daf87e953527b03c0bd4c0f41d704ba71186256d,2,0,0,1,linux,BFC
7ad816762f9bf89e940e618ea40c43138b479e10,11,0,0,2,linux,BIC
b2b94be787bf47eedd5890a249f3318bf9f1f1d5,25,21,8,1,linux,BFC
78d54f1f6a3353f54dee6f2be34fcbbcab0ac380,2,0,0,2,linux,BIC
fff7b64355eac6e29b50229ad1512315bc04b44e,64,0,1,2,linux,BIC
7f1598678d4c05e3e085bf780a5ab3119637ac3c,0,0,6,2,linux,BFC
d6062a6d62c643a06c393745d032da3e6441d4bd,44,0,10,2,linux,BIC
ec0da06337751b18f6dee06b6526e0f0d6e80369,0,1,0,1,linux,BFC
e03327122e2c8e6ae4565ef5b3d3cbe4364546a1,2,0,0,1,linux,BIC
a56d78b5d00db51676cf211e41ec42285fb4a573,1,3,2,1,linux,BFC
a9446a906f52292c52ecbd5be78eaa4d8395756c,0,14,2,1,linux,BIC
11db1ad4513d6205d2519e1a30ff4cef746e3243,2,2,0,1,linux,BFC
a93a99838248bdab49db2eaac00236847670bc7f,3,0,1,1,linux,BFC
6b5a9492ca0c991bab1ac495624e17520e9edf18,33,2,24,4,linux,BIC
b9c17d39d5d19b321414a1737c754a819878424a,2,0,0,1,linux,BFC
bf0ddaba65ddbb2715af97041da8e7a45b2d8628,37,0,6,5,linux,BIC
520ac30f45519b0a82dd92117c181d1d6144677b,56,0,114,28,linux,BIC
eda4eabf86fd6806eaabc23fb90dd056fdac037b,0,0,1,1,linux,BFC
272eda8298dc82eb411ece82bbb2c62911087b24,25,0,0,3,linux,BFC
2a6170dfe755b167ca8d6bba2e73695f08b37c54,264,0,1,5,linux,BIC
65e4345c8ef8811bbb4860fe5f2df10646b7f2e1,29,0,2,3,linux,BFC
b93e7eb5ed86983acece9aad8a1f82db1020d62b,0,4,0,1,linux,BFC
b9aaec8f0be518096d1377082e0abe6a85e86ff3,36,0,12,4,linux,BIC
22259a6e800cdb8e06e65432fcd019983214be0c,10,0,2,1,linux,BFC
bea2662e7818e15d7607d17d57912ac984275d94,2,0,0,1,linux,BFC
42b9f5c58aa8c59c91ead0254f0c193e3438b020,0,0,1,1,linux,BFC
486bdee0134cf21c3714ded809d5933d2b8dfb81,6,0,0,2,linux,BIC
133a48abf6ecc535d7eddc6da1c3e4c972445882,5,3,3,4,linux,BFC
a09acf4b43b90581bf53b0c03cc84ed693bf27e2,0,0,1,1,linux,BFC
79a258526ce1051cb9684018c25a89d51ac21be8,1,6,5,1,linux,BFC
7c13f97ffde63cc792c49ec1513f3974f2f05229,34,4,29,9,linux,BIC
55fbb9ba4f06cb6aff32daca1e1910173c13ec51,0,3,2,1,linux,BFC
174cc7187e6f088942c8e74daa7baff7b44b33c9,169,3,51,7,linux,BIC
5adae51a64b8b72430fe2682c9656661551f4641,209,0,0,2,linux,BIC
73d605d1abbd70ef67b7660cf2ff177259960756,49,0,13,5,linux,BIC
2aa70f864955bf02362e3fb3008e4208d7a17a98,13,0,1,1,linux,BIC
0f8946ae704ac6880c590beb91bc3a732595a28a,7,0,1,1,linux,BFC
333804dc3b7a92158ab63a48febff0d8ef89ada3,22,0,1,7,linux,BIC
53819a0d97aace1425bb042829e3446952a9e8a9,2,0,1,1,linux,BFC
a672401c00f82e4e19704aff361d9bad18003714,0,0,1,1,linux,BFC
0b1b213fcf3a8486ada99a2bab84ab8c6f51b264,1771,2210,377,69,linux,BIC
2eafd72939fda6118e27d3ee859684987f43921b,173,1528,1516,20,linux,BIC
52491c7607c5527138095edf44c53169dc1ddb82,3,0,0,1,linux,BFC
992b03b88e36254e26e9a4977ab948683e21bd9f,1,0,5,1,linux,BFC
702a4879ec337463f858c8ab467482cce260bf18,11,4,22,18,linux,BIC
30645307e5d2c8a4caf978558c66121ac91ad17e,2,0,1,1,linux,BFC
b38cd3b42fba66cc538edb9cf77e07881f43f8e2,5,0,1,1,linux,BFC
d96f04d347e4011977abdbb4da5d8f303ebd26f8,0,5,0,1,linux,BFC
ac515c084be9b3995f7aef0ae87797e75e0260f0,188,184,0,3,linux,BIC
2d067b2807f9d3381a37acef1b2f43682a868c7a,16,0,0,1,linux,BIC
764d31cacfe48440745c4bbb55a62ac9471c9f19,1,0,0,1,linux,BFC
e0910c8e4f87bb9f767e61a778b0d9271c4dc512,2,0,5,1,linux,BIC
d23bc2bc1d634658d7fa96395419c1c553a784f0,54,2,2,3,linux,BIC
5ec9121195a4f1cecd0fa592636c5f81eb03dc8c,0,1,2,1,linux,BFC
46df8824982e4fb0198776078d4a8c3e2d531464,1,0,0,1,linux,BFC
b8c8a9590e4fde82f8c3ee06a521763e6f21e9c8,55,0,0,2,linux,BIC
4d99ff8f12eb20c6cde292f185cb1c8c334ba0ed,19,0,2,3,linux,BIC
51f592050a523fc5882f9b8b4e9259422e41e848,1,0,0,1,linux,BFC
13fac1d851e09109096b5862bf37c3da6908fb48,0,21,5,1,linux,BFC
03659efe4287230b1d65b31c993708f335c8de82,2,0,0,1,linux,BFC
e5075c0badaaac245a6fa0b4625b5cd714d8ade3,0,8,2,1,linux,BIC
7716682cc58e305e22207d5bb315f26af6b1e243,4,3,34,6,linux,BIC
e94fa1d93117e7f1eb783dc9cae6c70650944449,2,0,0,1,linux,BFC
f2c7ef3ba9556d62a7e2bb23b563c6510007d55c,7,0,1,3,linux,BIC
e9036d0662360cd4c79578565ce422ed5872f301,5,1,2,2,linux,BFC
f7faffa3ff8ef6ae712ef16312b8a2aa7a1c95fe,344,33,115,3,linux,BIC
fec874a81b3ec280b91034d892a432fc71fd1522,1,0,1,1,linux,BFC
7a96b6ea90a439f73e42b640eef2386c2c644570,265,0,0,1,linux,BIC
96bdd4b9ea7ef9a12db8fdd0ce90e37dffbd3703,11,0,5,1,linux,BFC
cdeea45422f579b9302e377d1ede29133d3fde8e,0,0,1,1,linux,BFC
8d5678a76689acbf91245a3791fe853ab773090f,3,3,6,1,linux,BFC
07d89227a983df957a6a7c56f7c040cde9ac571f,0,1,4,1,linux,BFC
ec512fb8e5611fed1df2895f90317ce6797d6b32,0,1,1,1,linux,BFC
20776b465c0c249f5e5b5b4fe077cd24ef1cda86,3,0,10,1,linux,BFC
6a5ac9846508ad7d1d23881d9d5add35f2e6ae71,39,15,0,4,linux,BIC
6d8c50dcb029872b298eea68cc6209c866fd3e14,12,0,3,1,linux,BIC
5f955f26f3d42d04aba65590a32eb70eedb7f37d,14,0,0,1,linux,BIC
77bd741561016134d1761d6101c4f0361025062f,403,25,9,6,linux,BIC
914eaf935ec78d3a3ce03751b1e0f8395035d94a,18,0,0,1,linux,BIC
def14bfaf30d5d5a4a8fe5bf600ce09232e688c0,88,0,39,1,linux,BIC
3190e58dafaf10cedab3005f3859ee0c16700c14,41,0,0,1,linux,BIC
5a6d30675d17b9a984c837e7b31ce6b269e22c32,0,0,54,1,linux,BFC
262ca38f4b6eb418b20b8e1d6d8495c6a98727c1,84,3,13,6,linux,BIC
9799ccb0e984a5c1311b22a212e7ff96e8b736de,18,10,1,3,linux,BIC
d4cfbf04b2aafcb657eb8ea0835e5cf51d371448,8,0,8,1,linux,BFC
692ad280bff3e81721ab138b9455948ab5289acf,3,0,1,1,linux,BFC
d570aec0f2154e1bfba14ffd0df164a185e363b5,27,5,11,2,linux,BIC
befebbb30af00386bb1579efcdf1bb2d0c574593,7,1,4,1,linux,BIC
4d27cf1d9de5becfa4d1efb2ea54dba1b9fc962a,1,0,0,1,linux,BFC
187ad460b8413e863c951998cb321a117a717868,12,0,0,1,linux,BFC
30dc5e63d6a5ad24894b5512d10b228d73645a44,1859,0,5,8,linux,BIC
73318c4b7dbd0e781aaababff17376b2894745c0,0,0,1,1,linux,BFC
96e1fac162cc0086c50b2b14062112adb2ba640e,6,0,4,1,linux,BFC
2eca8e4c1df4864b937752c3aa2f7925114f4806,0,0,1,1,linux,BFC
b756f1c8fc9d84e3f546d7ffe056c5352f4aab05,22,0,6,1,linux,BFC
ddf42d068f8802de122bb7efdfcb3179336053f1,7,0,0,1,linux,BFC
13d19498b0446cad2c394f9fbec8149b44a60c6e,709,0,0,3,linux,BIC
a115b1bd3af0c2963e72f6e47143724c59251be6,93,0,0,2,linux,BIC
8b78fdb045de60a4eb35460092bbd3cffa925353,0,11,3,1,linux,BIC
043577518f027544e8f9e9568140a1fe87ee01a0,1,0,0,1,linux,BFC
7748feffcd80f3ee25dae5e6acd3cf90e8e838d8,63,0,2,1,linux,BIC
41fab65e7c44ab1c3aa4b962e6f95649354db419,46,0,2,2,linux,BIC
511b6d9aed417739b6aa49d0b6b4354ad21020f1,19,2,2,1,linux,BFC
50b7b6f29de3e18e9d6c09641256a0296361cfee,17,0,1,1,linux,BFC
85749218e3a6a1ab4fb3c698394f40f07b80be5e,1,0,1,1,linux,BFC
d5426f4c2ebac8cf05de43988c3fccddbee13d28,43,317,8,4,linux,BIC
8258d2da9f9f521dce7019e018360c28d116354e,0,0,1,1,linux,BFC
76835b0ebf8a7fe85beb03c75121419a7dec52f0,2,0,0,1,linux,BFC
90cee52f2e780345d3629e278291aea5ac74f40f,6,0,5,5,linux,BFC
a0c4acd2c220376b4e9690e75782d0c0afdaab9f,0,0,2,1,linux,BFC
912e4c332037e7ed063c164985c36fb2b549ea3a,6,6,9,2,linux,BFC
c07ea8d0b170c0cf6592a53981841c7973e142ea,0,0,1,1,linux,BFC
904bb4f5c7de2f40ff31d43d3547d40910e46640,19,0,0,2,linux,BIC
eef19816ada3abd56d9f20c88794cc2fea83ebb2,4,4,0,1,linux,BFC
ec39f7696ccfac85b3eea41eba7d6f747ee4ce8d,41,0,5,5,linux,BIC
